	title	description	source	date	open_coding_topic	sentiment	sentimental_words
374	Carney wants to boost resource development. Canada's climate legacy hangs in the balance	At the same time that Prime Minister Mark Carney was announcing a new tranche of major projects his government wants to fast-track, including a new gas export t...	cbc.ca	2025-11-14T19:29:43.000000Z	National	Neutral	
375	Sisson Mine project is long overdue, geologist says	The Sisson Mine project in rural New Brunswick might finally get off the ground after Prime Minister Mark Carney named it as one of the country’s major projec...	cbc.ca	2025-11-14T10:00:00.000000Z	National	Positive	long overdue, might finally get off the ground
376	Danielle Smith supportive of new major projects,says pipeline negotiation ongoing	Prime Minister Mark Carney announced Thursday that seven additional major energy and infrastructure projects were being referred to his government's major proje...	cbc.ca	2025-11-14T00:08:03.000000Z	National	Positive	supportive
377	Proposed northern Ontario nickel mine set to be declared 'nation-building project'	Prime Minister Mark Carney is set to announce Thursday a list of several “nation-building projects” that the federal government is fast-tracking. And one of...	cbc.ca	2025-11-13T10:00:00.000000Z	National	Neutral	
378	Carney in B.C. to unveil next list of recommended nation-building projects	Prime Minister Mark Carney is in northern B.C. today to announce the latest slew of nation-building projects to be sent to the newly created Major Projects Offi...	cbc.ca	2025-11-13T09:00:00.000000Z	National	Neutral	
379	Long-delayed Sisson Mine in running for Carney’s national projects list	On Monday,during a visit to Fredericton,Prime Minister Mark Carney grinned at a question about a mine proposed for the province more than a decade ago,but on...	cbc.ca	2025-11-12T20:03:48.000000Z	National	Neutral	
380	New nation-building projects list to include mines, LNG, Iqaluit hydro: sources	Prime Minister Mark Carney is set to announce a second set of “nation-building projects,” including at least two focused on critical mineral extraction, one...	cbc.ca	2025-11-11T22:00:46.000000Z	National	Positie	focused on critical
381	Carney highlights $186M new funding to implement ‘Buy Canadian’ policy	Power & Politics asks Industry Minister Mélanie Joly whether Prime Minister Mark Carney’s Buy Canadian policy could lead to higher prices.	cbc.ca	2025-11-10T23:47:17.000000Z	National	Negative	Lead to higher prices
382	Carney to announce next tranche of major projects on Thursday	The federal government will unveil the next round of major projects that will get fast-tracked approvals later this week, Prime Minister Mark Carney said Monday...	cbc.ca	2025-11-10T18:26:40.000000Z	National	Neutral	
383	Prime Minister Mark Carney in Fredericton to talk about 'Buy Canadian' policy	Prime Minister Mark Carney is in Fredericton Monday to highlight the government's new	cbc.ca	2025-11-10T16:45:06.000000Z	National	Neutral	
384	Advocates concerned temporary immigration cuts don't address systemic issues	As the Carney government slashes temporary immigration, some experts are concerned about its impact on critical industries and post-secondary education.	cbc.ca	2025-11-09T09:00:00.000000Z	National	Negative	Advocates concerned temporary immigration cuts don't address systemic issues, As the Carney government slashes temporary immigration
385	Why it would be a big deal for Canada to compete in Eurovision	In this week's federal budget, the Carney government revealed its desire to get Canada into the international singing competition. In an interview with Amy Smit...	cbc.ca	2025-11-07T23:01:44.000000Z	National	Neutral	
386	Quebec businesses say immigration reductions in federal budget will make labour shortages worse	The Carney government’s recent budget includes a drastic reduction in the number of temporary residents admitted in the coming years, something the Quebec gov...	cbc.ca	2025-11-06T09:00:00.000000Z	National	Negative	immigration reductions in federal budget will make labour shortages worse
387	Carney's budget needs 2 votes. Will this funding targeting opposition ridings get him there?	With one MP already crossing the floor to join the Liberals, Prime Minister Mark Carney now needs only two more votes, or abstentions, to pass his budget. And t...	cbc.ca	2025-11-05T20:59:12.000000Z	National	Neutral	
388	Feds table $13B for housing in new budget,but this advocate wants to see the details	Prime Minister Mark Carney tabled his first budget in Ottawa on Tuesday,and it includes $13 billion over five years for housing. But a non-profit organization ...	cbc.ca	2025-11-05T18:30:47.000000Z	National	Neutral	
389	Uncertainty for P.E.I.'s federal public service employees as Carney plans to slash 16K jobs	The federal government is set to slash 16,000 positions — or about 4.5 per cent of the public service workforce — over the next three years and it’s not y...	cbc.ca	2025-11-05T16:11:32.000000Z	National	Negative	Uncertainty
390	Trade talks with Trump ‘not yet revived’ since anti-tariff ad apology: Carney	Prime Minister Mark Carney gave no indication trade talks with the United States will resume any time soon, despite apologizing to U.S. President Donald Trump w...	cbc.ca	2025-11-05T15:27:17.000000Z	International	Negative	despite apologizing
391	Carney holds news conference day after tabling budget	Prime Minister Mark Carney takes questions from journalists the day after presenting his fiscal plan.	cbc.ca	2025-11-05T13:25:00.000000Z	National	Neutral	
392	Budget job cuts would hit hard, say federal public service unions	Federal public service unions say the Carney government's 2025 budget, which proposes thousands of job cuts, early retirement incentives and expanded AI use, th...	cbc.ca	2025-11-05T13:22:34.000000Z	National	Negative	proposes thousands of job cuts
393	Canadian athletes on outside as Carney government's 1st budget sees no new sports funding	Canada’s summer and winter Olympians,along with other athletes,were left on the outside during Tuesday’s budget announcement by the federal government,de...	cbc.ca	2025-11-04T21:55:05.000000Z	National	Negative	left on the outside
394	Ottawa mayor responds to the 2025 federal budget	Mark Sutcliffe reacts to the Carney government's plans and how they may affect the capital.	cbc.ca	2025-11-04T21:30:00.000000Z	National	Neutral	
395	Carney budget to slash public service by 16,000 over 3 years	Prime Minister Mark Carney’s first budget seeks to slash the public service by 16,000 full-time equivalent positions, or about 4.5 per cent of the workforce, ...	cbc.ca	2025-11-04T21:12:00.000000Z	National	Negative	slash public service
396	Canada’s proposed budget sees deficit rise to $78B. Here’s what to know about the Carney government’s plans		cbc.ca	2025-11-04T20:01:11.000000Z	National	Negative	deficit rise
397	Liberals to table 'big, bold' federal budget Tuesday as Carney looks to put his stamp on government	Finance Minister François-Philippe Champagne will deliver the new Liberal government’s first budget Tuesday that will be full of what he calls “generationa...	cbc.ca	2025-11-04T09:00:00.000000Z	National	Neutral	
398	Carney asked Ford 'a couple of times' to pull anti-tariff ad,Ont. premier says	Ontario Premier Doug Ford says Prime Minister Mark Carney called him	cbc.ca	2025-11-03T18:40:48.000000Z	International	Neutral	
399	Mark Carney’s high-stakes first budget	Does Prime Minister Carney have the votes to get his first budget passed – or could we be looking at another election?	cbc.ca	2025-11-03T12:30:00.000000Z	National	Neutral	
400	'This is not a game,' Carney says as he signals he's ready to fight election over federal budget	Prime Minister Mark Carney signalled at the close of the APEC summit that he'd be prepared to fight an election over the upcoming federal budget — remarks tha...	cbc.ca	2025-11-01T13:55:44.000000Z	National	Neutral	
401	'Why did he promise it?': Poilievre criticizes Carney for not securing U.S. trade deal	Conservative Leader Pierre Poilievre is questioning why Prime Minister Mark Carney promised he could handle U.S. President Donald Trump, given that the two coun...	cbc.ca	2025-10-31T22:23:38.000000Z	International	Negative	Criticizes
402	Trump says Carney apologized for Ford's anti-tariff ad	U.S. President Donald Trump says Prime Minister Mark Carney apologized for the Ontario government ad that used former president Ronald Reagan’s own words to s...	cbc.ca	2025-10-31T20:21:55.000000Z	International	Neutral	
403	Carney and Xi agree to tackle 'irritants' in Canada-China relationship	Prime Minister Mark Carney met with China's Xi Jinping for 39 minutes Friday, where the leaders agreed to meet again and work toward reducing the irritants betw...	cbc.ca	2025-10-31T12:15:58.000000Z	International	Positive	Carney and Xi agree to tackle 'irritants'
404	Xi invites Carney to visit China as leaders meet at APEC summit	Chinese President Xi Jinping invited Prime Minister Mark Carney to visit China as the pair met on the sidelines of the Asia Pacific Economic Cooperation summit ...	cbc.ca	2025-10-31T09:53:41.000000Z	International	Neutral	
405	Carney tours newly completed South Korean sub as Canada weighs multi-billion dollar order	South Korea's prime minister put his political weight behind his country's multi-billion dollar bid to sell Canada submarines. Kim Min-seok accompanied his Cana...	cbc.ca	2025-10-30T11:44:11.000000Z	International	Neutral	
406	MPs urge Carney government to release special agency governing documents	Opposition MPs are calling on Prime Minister Mark Carney’s government to make public the documents that govern three special agencies it has created to manage...	cbc.ca	2025-10-30T09:00:00.000000Z	National	Neutral	
407	Carney, Trump keep it civil at South Korea summit, but speak little	U.S. President Donald Trump and Prime Minister Mark Carney were seated across the table and even acknowledged each other during a toast at a dinner ahead of the...	cbc.ca	2025-10-29T17:06:59.000000Z	International	Neutral	
408	Trump and Carney keep it civil over dinner ahead of APEC Summit	The U.S. president and the Canadian prime minister exchanged gestures but barely spoke at a dinner in advance of the APEC Summit.	cbc.ca	2025-10-29T14:12:22.000000Z	International	Neutral	
409	Carney mum on whether he saw Ontario's anti-tariff ad beforehand	Prime Minister Mark Carney says the federal government is in charge of trade talks with the Trump administration, as his office is declining to confirm whether ...	cbc.ca	2025-10-27T18:31:15.000000Z	International	Negative	his office is declining to confirm
410	Carney hoping for a relations reset in meeting with Chinese president	Prime Minister Mark Carney says he'll meet with Chinese President Xi Jinping at this week's APEC summit — a get-together that the prime minister hopes will re...	cbc.ca	2025-10-27T18:12:25.000000Z	International	Neutral	
411	Carney says he's not spoken to Trump since trade talks scuttled — but door remains open	Mark Carney and U.S. President Donald Trump have not spoken since trade talks were cancelled last week, the prime minister confirmed Monday. And it doesn't appe...	cbc.ca	2025-10-27T13:36:47.000000Z	International	Negative	trade talks scuttled
412	Carney pitches Canada as 'reliable' to ASEAN as Trump threatens more tariffs	Prime Minister Mark Carney addressed South Asian leaders on Sunday about the importance of “reliable partners who honour their commitments.”	cbc.ca	2025-10-26T09:00:00.000000Z	International	Neutral	
413	Shadow of Trump's trade war follows Carney to Malaysia	The prime minister is due to arrive in Malaysia for the summit of southeast Asian nations — looking to advance free trade talks there after the recent scuttli...	cbc.ca	2025-10-25T09:00:00.000000Z	International	Neutral	
414	As a leader in finance, Mark Carney said climate action was critical. Where is that urgency now?	Mark Carney spent a decade as one of the most credible voices on climate action and the economy. Now as prime minister, he is scrapping emissions reductions pol...	cbc.ca	2025-10-25T05:00:00.000000Z	National	Negative	Where is that urgency now?, he is scrapping emissions reductions
415	Michael Kovrig warns of China’s ‘diplomatic wrapping paper’ as Carney pursues deeper ties	As Prime Minister Mark Carney aims to meet with Chinese President Xi Jinping amid a U.S. trade war, a former Canadian diplomat who spent more than a thousand da...	cbc.ca	2025-10-24T23:04:14.000000Z	International	Negative	warns ... as Carney pursues deeper ties, amid a U.S. trade war
416	Carney faced with balancing relations with China,U.S. as he departs for summits	Prime Minister Mark Carney is expected to walk an international tightrope over the next week as he departs Friday for a set of Indo-Pacific Summit meetings,one...	cbc.ca	2025-10-24T09:00:00.000000Z	International	Neutral	
417	Ottawa hoping for a Carney-Xi meeting in Asia next week, says official	A senior Canadian government official told reporters Thursday that it's hoped Prime Minister Mark Carney will meet Chinese President Xi Jinping on the sideline...	cbc.ca	2025-10-23T19:40:04.000000Z	International	Neutral	
418	Carney government gets tougher on crime with proposed bail regime changes	The federal Liberal government announced Thursday changes to the justice system that are intended to keep some offenders locked up for longer as Ottawa tries an...	cbc.ca	2025-10-23T17:17:49.000000Z	National	Neutral	
419	Poilievre reacts to Carney's pre-budget speech	Conservative Leader Pierre Poilievre holds a news conference in Ottawa to respond to Prime Minister Mark Carney's pre-budget speech, in which Carney said Canadi...	cbc.ca	2025-10-23T16:30:00.000000Z	National	Neutral	
420	Feds, province to spend $3B on mini nuclear power plant in Bowmanville, Ont.	Premier Doug Ford and Prime Minister Mark Carney are announcing the new spending at a news conference being carried live by CBC News Thursday morning. Construct...	cbc.ca	2025-10-23T15:28:38.000000Z	National	Neutral	
421	Carney meets with opposition leaders ahead of budget address	Prime Minister Mark Carney is meeting with leaders of the opposition parties ahead of a speech to university students in which he's expected to discuss his gove...	cbc.ca	2025-10-22T17:45:32.000000Z	National	Neutral	
422	Prime Minister Mark Carney takes in K-W Oktoberfest	Prime Minister Mark Carney made a stop in Breslau on Friday to tap a keg during the last weekend of Kitchener-Waterloo Oktoberfest events.	cbc.ca	2025-10-17T21:35:09.000000Z	Public Relations	Neutral	
423	Carney heading to Asia for 9-day trip to work on trade, defence partnerships	Prime Minister Mark Carney will travel to Malaysia, Singapore and South Korea over nine days at the end of the month to attend two multinational summits.	cbc.ca	2025-10-17T20:24:09.000000Z	International	Neutral	
424	Carney says legislation to toughen sentences, make bail harder to get coming next week	Prime Minister Mark Carney says his government will introduce legislation next week to crack down on crime by introducing harsher sentencing and making bail muc...	cbc.ca	2025-10-16T17:44:32.000000Z	National	Positive	crack down on crime
425	'It's time to talk': Carney rules out hitting the U.S. with retaliatory tariffs	Prime Minister Mark Carney said Thursday his government is not considering hitting American goods with more retaliatory tariffs even as the trade war rages on, ...	cbc.ca	2025-10-16T17:35:05.000000Z	International	Neutral	
426	Stellantis looking for new model to fill Brampton plant,says Carney	Prime Minister Mark Carney says he spoke with the global head of Stellantis on Tuesday and received assurances there are options for its Brampton,Ont.,plant,...	cbc.ca	2025-10-16T17:20:28.000000Z	National	Positive	received assurances
427	Prime Minister announces measures to combat crime	Prime Minister Mark Carney is announcing new measures to reduce crime and improve community safety.	cbc.ca	2025-10-16T16:00:00.000000Z	National	Positive	reduce crime and improve community safety
428	Trump’s delay at peace summit sparked rare, candid conversation among other leaders on postwar Gaza	U.S. President Donald Trump’s late arrival at the summit he convened in Egypt this week gave his fellow leaders, including Prime Minister Mark Carney,  a chan...	cbc.ca	2025-10-15T18:02:40.000000Z	International	Neutral	
429	Trump calls Carney ‘Mr. President’ at peace summit	During his speech at the Gaza peace summit in Egypt, U.S. President Donald Trump referred to Prime Minister Mark Carney as “president.” Carney attended the ...	cbc.ca	2025-10-13T21:03:18.000000Z	International	Neutral	
430	Carney to attend Gaza peace summit in Egypt on Monday: Prime Minister's Office	Prime Minister Mark Carney will be flying out tonight to head to Egypt to attend the signing of a Middle East peace plan aimed at ending the war in Gaza, accord...	cbc.ca	2025-10-12T20:54:18.000000Z	International	Neutral	
431	Will AI make or break Canada? Innovators, researchers call for more guardrails	As the Carney government promotes artificial intelligence as part of its bid to grow the Canadian economy, some inventors who use the technology and experts who...	cbc.ca	2025-10-11T09:00:00.000000Z	National	Negative	researchers call for more guardrails
432	Carney says renegotiating CUSMA likely won't resolve all trade issues with U.S.	Prime Minister Mark Carney says it's clear the U.S. will keep targeting certain sectors with tariffs, even after the renegotiation of the Canada-U.S.-Mexico Agr...	cbc.ca	2025-10-10T16:44:36.000000Z	International	Neutral	
433	Carney announces long-awaited automatic tax filing,makes school food program permanent	Prime Minister Mark Carney announced Friday that his government will begin rolling out an automatic tax filing system for low-income Canadians and will make the...	cbc.ca	2025-10-10T14:00:25.000000Z	National	Positive	announces long-awaited
434	Carney makes pre-budget announcement in Ottawa	Prime Minister Mark Carney and Finance Minister François-Philippe Champagne make an affordability announcement and take questions from journalists in suburban ...	cbc.ca	2025-10-10T14:00:00.000000Z	National	Neutral	
435	'It is a day for optimism,' Carney says as Israel,Hamas edge closer to ending war	Prime Minister Mark Carney said Thursday it is a day for optimism as Israel and Hamas agreed to the terms of a U.S.-brokered plan for peace in Gaza,paving th...	cbc.ca	2025-10-09T15:38:23.000000Z	International	Neutral	
436	Carney speaks far less French than English in speeches, analysis shows	A comprehensive analysis by Radio-Canada reveals that less than one-fifth of the content of the prime minister's speeches since he was elected has been in Frenc...	cbc.ca	2025-10-09T09:00:00.000000Z	Public Relations	Negative	Carney speaks far less French than English
437	Carney says he’s spoken with Tony Blair,Jared Kushner about Israel,Gaza	Prime Minister Mark Carney said Wednesday that he’s recently been in touch with two key players in U.S. President Donald Trump’s proposed peace plan for Isr...	cbc.ca	2025-10-09T00:03:56.000000Z	Internaional	Neutral	
438	Danielle Smith says Prime Minister Carney speaking Trump's 'love language'	Alberta Premier Danielle Smith is lauding Prime Minister Mark Carney's ability to speak the language of U.S. President Donald Trump. Smith said Trump prefers to...	cbc.ca	2025-10-08T23:04:20.000000Z	International	Positive	lauding
439	'We will get an even better deal,' Carney says after Oval Office meeting with Trump	Prime Minister Mark Carney said Wednesday Canadian and American officials are currently negotiating terms of a deal on tariffs a day after he met with the U.S...	cbc.ca	2025-10-08T20:00:32.000000Z	International	Neutral	
440	Carney raised Keystone XL pipeline revival in meeting with Trump	Relief for Canada from U.S. tariffs on steel and aluminum may come thanks to renewed interest in a pipeline project first proposed more than 15 years ago.	cbc.ca	2025-10-08T09:00:33.000000Z	International	Positive	Relief for Canada
441	5 premiers urge Carney to withdraw court submission on notwithstanding clause	"Five premiers say Ottawa must withdraw its recent call for limits on the notwithstanding clause because it amounts to a ""complete disavowal"" of the bargain that..."	cbc.ca	2025-10-07T22:51:35.000000Z	National	Nebative	Call for withdrawal
442	Carney to meet with Trump Tuesday as Canada pushes for tariff relief	Prime Minister Mark Carney will sit down with his U.S. counterpart at the White House Tuesday for their second Oval Office meeting in less than six months as th...	cbc.ca	2025-10-07T09:00:00.000000Z	National	Neutral	
443	Pressure is building on Donald Trump as tariffs bite deeper into American manufacturing	Prime Minister Mark Carney is headed to Washington, under enormous pressure to make a deal. But as the trade war eats into American corporate profits and more i...	cbc.ca	2025-10-07T09:00:00.000000Z	International	Neutral	
444	'No more losing,' Poilievre tells Carney in scathing letter ahead of PM's face-to-face with Trump	Conservative Leader Pierre Poilievre has penned a scathing letter to the prime minister ahead of his meeting with the U.S. president on Tuesday, saying Mark C...	cbc.ca	2025-10-06T13:00:00.000000Z	International	Negative	scathing letter
445	Promised immigration changes worry rural Manitoba businesses already struggling to fill jobs	Prime Minister Mark Carney has said he plans to reduce the number of temporary foreign workers and implement a more	cbc.ca	2025-10-06T11:00:00.000000Z	National	Negative	changes worry rural Manitoba businesses already struggling to fill jobs
446	Canada aims for steel tariff relief as Carney hopes to improve relationship with Trump, sources say	Partial relief from steel tariffs is the modest expectation of the Canadian delegation heading to the White House for Tuesday’s meeting between Prime Minister...	cbc.ca	2025-10-06T09:00:00.000000Z	International	Neutral	
447	After exodus of major banks,Mark Carney-launched net-zero alliance shuts down	A global banking group that Prime Minister Mark Carney helped launch in 2021 to fight climate change has voted to shut down.	cbc.ca	2025-10-03T23:04:45.000000Z	Personal	Negative	shut down
448	Carney to return to Washington as Trump's tariffs hit sectors hard	The prime minister is expected to visit the White House on Tuesday to meet face-to-face with U.S. President Donald Trump as tariffs continue to pummel some Cana...	cbc.ca	2025-10-03T14:46:27.000000Z	International	Neutral	
449	Is Mark Carney going to get tied up in pipeline politics?	Alberta Premier Danielle Smith's preferred framing for the issue of a new pipline creates a challenge and a potential trap for Prime Minister Mark Carney.	cbc.ca	2025-10-02T20:21:03.000000Z	National	Negative	tied up,challenge,trap
450	Former clerk of Privy Council John Hannaford to be Carney's special representative to the EU	Prime Minister Mark Carney has created a new diplomatic position to the European Union in order to boost trade, economic security and the fight against climate ...	cbc.ca	2025-10-01T15:29:52.000000Z	International	Neutral	
451	Carney government quietly dropped more U.S. counter-tariffs than advertised	The federal government has quietly removed more counter-tariffs on American goods than initially advertised, according to an order-in-council published online.	cbc.ca	2025-09-25T18:51:49.000000Z	International	Negative	Quietly removed
452	Carney heads to U.K. in search of investment and partners — as pressure mounts to show results	Prime Minister Mark Carney heads to the United Kingdom Thursday to attract investment and strengthen ties that he argues are key to securing Canada's future. Th...	cbc.ca	2025-09-25T09:00:00.000000Z	International	Neutral	
453	Carney sees possibilities for Canada at UN General Assembly	Prime Minister Mark Carney said Canada can find opportunities in crisis after attending this week's United Nations General Assembly in New York — where U.S. P...	cbc.ca	2025-09-24T23:21:02.000000Z	International	Neutral	
454	With Anandasangaree and the tape, Carney faces his first political firestorm	The tale of Gary Anandasangaree and the tape probably now qualifies as the first political firestorm of Mark Carney's time as prime minister. So far he seems co...	cbc.ca	2025-09-24T22:47:33.000000Z	National	Negative	Carney faces his first political firestorm
455	RBC employee charged for allegedly accessing Carney, Trudeau's banking information	The RCMP has charged an Ottawa RBC employee after he allegedly accessed Prime Minister Mark Carney and former prime minister Justin Trudeau’s banking profiles...	cbc.ca	2025-09-24T16:57:52.000000Z	National	Neutral	
456	Carney says he will meet China's president 'at appropriate time' to talk trade	Prime Minister Mark Carney on Tuesday said he's anticipating a meeting with Chinese President Xi Jinping as the two nations work to build a new, stable trade ...	cbc.ca	2025-09-24T01:42:57.000000Z	International	Positive	work to build a new, stable trade
457	Carney says he has confidence in public safety minister after calls for his resignation	Prime Minister Mark Carney says he has confidence in his public safety minister despite the Conservatives calling for Gary Anandasangaree's resignation over a l...	cbc.ca	2025-09-24T00:57:55.000000Z	National	Neutral	
458	During New York visit, Carney says Canada 'has what the world wants' at a critical time	"Prime Minister Mark Carney pitched Canada as a reliable trading partner that ""has what the world wants"" before an international audience Monday in New York City..."	cbc.ca	2025-09-23T01:05:06.000000Z	International	Neutral	
459	Winnipeggers run for Palestine, as Carney announces Canada's recognition of Palestinian state	Hundreds ran in Winnipeg on Sunday to show support for Palestine, on the same day the Prime Minister announced that Canada will formally recognize a Palestinian...	cbc.ca	2025-09-22T13:40:39.000000Z	International	Positive	show support
460	Danielle Smith on Carney, Kirk and pipelines	Alberta Premier Danielle Smith on free speech after Charlie Kirk’s killing, the notwithstanding clause and trans youth laws, and her cautious optimism about t...	cbc.ca	2025-09-22T11:00:00.000000Z	National	Neutral	
461	St. John's protesters 'Draw the Line' against parts of Carney's agenda	The Draw the Line rally protests against the Carney government's alignment with new fossil fuel projects, boost in military spending and expected public servic...	cbc.ca	2025-09-22T09:30:00.000000Z	National	Negative	St. John's protesters 'Draw the Line' against parts of Carney's agenda
462	Hundreds rally in Toronto to 'draw the line' against PM Carney agenda	Rallies were held in Toronto, Ottawa and other cities across Canada Saturday afternoon to call on the new Liberal government to prioritize the climate, Indigeno...	cbc.ca	2025-09-20T22:36:55.000000Z	National	Negative	Hundreds rally in Toronto to 'draw the line' against PM Carney agenda
463	Canadians are taking a big step back from the U.S. — and here's the data to prove it	In the weeks after U.S. President Donald Trump sparked a trade war with his punishing tariffs, Prime Minister Mark Carney said Canada’s	cbc.ca	2025-09-19T09:00:00.000000Z	International	Neutral	
464	Canada, Mexico agree to deepen ties in face of Trump's turbulent 2nd term	Prime Minister Mark Carney and Mexican President Claudia Sheinbaum agreed to deepen ties between their two countries as both grapple with the uncertainty of a s...	cbc.ca	2025-09-19T00:23:08.000000Z	International	Positive	agreed to deepen ties
465	Former justice minister David Lametti named Canada's UN ambassador	Prime Minister Mark Carney has officially named David Lametti as Canada’s next ambassador to the United Nations.	cbc.ca	2025-09-18T20:15:06.000000Z	International	Neutral	
466	Carney heads to Mexico in search of an ally — and opportunities	Canada's relationship with Mexico took a hit last fall when some politicians responded to talk of tariffs from president-elect Donald Trump by suggesting that M...	cbc.ca	2025-09-18T09:00:00.000000Z	International	Neutral	
467	Carney honours Ken Dryden,'a national hero and a personal idol'	Prime Minister Mark Carney paid tribute to Ken Dryden in the House of Commons on Wednesday. Dryden,a six-time Stanley Cup-winning goalie with the Montreal Cana...	cbc.ca	2025-09-17T20:32:55.000000Z	Public Relations	Neutral	
468	Former justice minister David Lametti to leave Prime Minister's Office: sources	Former Justice Minister David Lametti will be leaving his job as principal secretary to Prime Minister Mark Carney after just a couple of months on the job, sou...	cbc.ca	2025-09-17T20:14:47.000000Z	National	Neutral	
469	Ford calls on Carney to keep 100% tariff on Chinese electric vehicles	Ontario Premier Doug Ford is calling on Canadian Prime Minister Mark Carney to maintain the 100 per cent tariff on Chinese electric vehicles, despite the canola...	cbc.ca	2025-09-17T19:02:16.000000Z	National	Neutral	
470	Ford believes Carney will designate Highway 401 tunnel as 'national interest' project	Ontario Premier Doug Ford believes Prime Minister Mark Carney will back his idea for a tunnel under Highway 401 through the Greater Toronto Area, though it is u...	cbc.ca	2025-09-16T20:41:52.000000Z	National	Neutral	
471	Carney government to table first budget on Nov. 4	The Liberal government will table the federal budget — the first under Prime Minister Mark Carney — in early November.	cbc.ca	2025-09-16T19:53:25.000000Z	National	Neutral	
472	Premier Scott Moe, canola industry leaders to meet with PM Mark Carney Tuesday	Prime Minister Mark Carney is set to meet with Saskatchewan Premier Scott Moe and canola industry leaders in Ottawa on Tuesday afternoon.	cbc.ca	2025-09-16T17:24:27.000000Z	National	Neutral	
473	Carney and Poilievre exchange pleasantries, then resume an epic debate	Pierre Poilievre was back in his happy place. Mark Carney was back in the prime minister's seat. Between them lay 396 centimetres of green carpet and the future...	cbc.ca	2025-09-15T23:41:13.000000Z	National	Neutral	
474	Carney,Poilievre come face-to-face for the first time in Parliament as new sitting starts	Prime Minister Mark Carney squared off with his Conservative counterpart for the first time in Parliament Monday as MPs returned for a new sitting with the deba...	cbc.ca	2025-09-15T21:29:55.000000Z	National	Neutral	
475	Carney announces launch of new housing agency, earmarks funding for new projects	Prime Minister Mark Carney announced on Sunday the launch of Build Canada Homes, the federal government’s new agency that will oversee federal housing program...	cbc.ca	2025-09-14T19:59:28.000000Z	National	Positive	announces launch of new housing agency
476	Prime Minister Mark Carney makes a housing announcement	Prime Minister Mark Carney is expected to announce the launch of Build Canada Homes, which will oversee federal housing programs.	cbc.ca	2025-09-14T19:00:00.000000Z	National	Positive	excited to announce
477	Carney wants to fast-track LNG expansion in B.C., but can Canadian natural gas compete globally?	Canada's move to double down on liquified natural gas on the West Coast not only puts B.C. and Canada’s climate goals into jeopardy, but according to energy a...	cbc.ca	2025-09-13T09:00:00.000000Z	National	Negative	can Canadian natural gas compete globally, puts B.C. and Canada’s climate goals into jeopardy, 
478	Carney says there's been a 'rupture.' What's he going to do about it this fall?	Even while Mark Carney has been accused of lowering his elbows in regards to American tariffs, he continues to frame the larger challenge facing this country in...	cbc.ca	2025-09-13T09:00:00.000000Z	International	Neutral	
479	Carney picked 2 'nation-building' resource projects to fast-track in B.C. What are they?	Both of the B.C. projects, LNG Canada Phase 2 and the Red Chris copper and gold mine, will include expanding existing facilities.	cbc.ca	2025-09-13T06:46:17.000000Z	National	Neutral	
480	More than 200 musicians demand Carney move away from fossil fuels	'Canada is burning' reads the campaign's letter, signed by Sarah Harmer, Luna Li, Cris Derksen, the Weather Station and more.	cbc.ca	2025-09-12T14:10:11.000000Z	National	Negative	Demand canada move away from
481	Carney touted Bay du Nord for its low-carbon oil. This researcher says there's no such thing	Prime Minister Mark Carney's visit to St. John's this week came with excitement for Newfoundland and Labrador megaprojects like the Bay du Nord project, but thi...	cbc.ca	2025-09-12T09:30:00.000000Z	National	Negative	Carney touted, This researcher says there's no such thing
482	Carney government introducing bill to protect people entering religious, cultural buildings	Prime Minister Mark Carney's government is expected to introduce legislation as early as Tuesday to crack down on people willfully intimidating and obstructing ...	cbc.ca	2025-09-12T09:00:00.000000Z	National	Positive	protect people, crack down on people willfully intimidating and obstructing
483	Carney wants to fast-track the Port of Montreal expansion. Here's what's at stake	The Port of Montreal's expansion is among five high-priority infrastructure projects Prime Minister Mark Carney has targeted to fast-track via the newly creat...	cbc.ca	2025-09-12T09:00:00.000000Z	National	Negative	Here's what's at stake
484	Sask. copper mine one of 5 projects Carney recommending for approval	Mark Carney has unveiled his top five major projects that he says will reshape Canada. A mine in northern Saskatchewan is one of them.	cbc.ca	2025-09-12T09:00:00.000000Z	National	Neutral	
485	Premiers express optimism over Carney’s nation-building projects	Prime Minister Mark Carney has announced his first batch of major projects, after spending the summer reviewing pitches from Canada’s premiers. Nova Scotia Pr...	cbc.ca	2025-09-11T23:43:57.000000Z	National	Positive	Premiers express optimism over Carney’s
486	Northern premiers throw support behind feds' major projects list	Prime Minister Mark Carney unveiled a list of five “nation-building” projects Thursday morning that he says his government is prioritizing. While no norther...	cbc.ca	2025-09-11T21:49:53.000000Z	National	Positive	Northern premiers throw support behind feds' major projects list
487	Federal government will work out more pharmacare deals, Carney says	Prime Minister Mark Carney says his government is committed to signing pharmacare deals with all provinces and territories, ending months of speculation about t...	cbc.ca	2025-09-11T20:16:14.000000Z	National	Positive	committed to signing pharmacare deals
488	Carney appoints 11 members to Major Project Office's Indigenous Advisory Council	Prime Minister Mark Carney announced the 11 members of the Indigenous Advisory Council, to advise the Major Projects Office, on Wednesday.	cbc.ca	2025-09-11T17:59:01.000000Z	National	Neutral	
489	Carney recommending 5 'nation-building projects' for approval, including LNG expansion: sources	Prime Minister Mark Carney is set to unveil several “nation-building” projects Thursday morning that his government has identified as part of a promise to b...	cbc.ca	2025-09-10T23:43:55.000000Z	National	Neutral	
